ID;LIMIT_BAL;SEX;EDUCATION;MARRIAGE;AGE;PAY_1;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;DEF
103;480000;1;1;1;63;0;0;0;2;2;0;422069;431342;479432;487066;471145;469961;16078;55693;17000;0;18000;24200;
109;130000;1;2;2;38;0;0;0;-1;-1;-1;171438;178382;39940;120483;44127;126568;10908;0;133657;4566;133841;4796;
113;280000;1;2;1;41;2;2;2;2;2;3;135673;138532;134813;144401;152174;149415;6500;0;14254;14850;0;5000;
116;30000;1;1;2;24;-1;2;0;0;3;2;18199;17618;18631;21319;20692;21201;0;1312;3000;0;1000;1000;
122;450000;1;1;1;40;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0;
133;420000;1;2;1;34;0;0;0;0;0;0;253454;247743;229049;220951;210606;188108;9744;9553;7603;7830;7253;11326;
134;330000;1;3;1;46;0;0;0;0;0;0;227389;228719;229644;227587;227775;228203;8210;8095;8025;8175;8391;8200;
142;180000;1;2;2;28;-1;-1;-1;-1;-1;-1;1832;0;832;332;416;416;0;416;332;500;3500;832;
145;20000;1;1;2;29;-1;-1;-1;-1;0;-1;1199;15586;344;2340;6702;339;15586;344;2340;4702;339;330;
146;50000;1;1;2;28;0;0;0;0;0;3;4999;5913;7315;9195;10624;10138;1000;1500;2000;1583;1100;0;
149;80000;2;2;1;23;1;2;3;2;0;0;9168;10522;10205;9898;10123;12034;1650;0;0;379;2091;1;
155;30000;2;3;2;26;0;0;0;0;0;0;9014;10406;11427;11935;13084;14206;1700;1500;1000;1500;1500;1500;
158;200000;2;3;2;30;0;0;0;0;0;0;196031;196143;189524;167163;146975;122324;7300;7108;7680;6200;5000;4500;
159;210000;1;3;1;45;2;3;4;4;5;6;115785;122904;129847;137277;145533;154105;10478;10478;11078;11078;11678;10478;
163;290000;1;3;1;47;-1;-1;-1;-1;0;-1;1234;396;396;792;396;423;396;396;792;0;423;369;
164;250000;2;1;1;34;0;0;2;0;0;0;141223;156858;151841;152803;155997;160220;17994;0;5469;5656;6811;3920;
170;50000;2;2;2;22;0;0;0;0;0;0;28040;29092;29366;27737;28318;28806;1510;1442;982;1017;1277;567;
175;360000;1;1;2;29;1;-2;-1;-1;-2;-2;0;0;77;0;0;0;0;77;0;0;0;0;
177;80000;1;1;2;30;-2;-1;0;0;0;0;6187;100;600;1438;1919;5380;504;500;1000;500;3500;0;
196;50000;2;1;2;24;1;2;2;2;2;2;36166;37188;37680;38462;39228;40035;1900;1400;1700;1532;1600;0;
197;150000;2;2;1;34;-2;-2;-2;-2;-2;-2;0;0;0;116;0;1500;0;0;116;0;1500;0;
202;140000;1;1;2;31;0;0;2;0;0;2;27123;27299;17985;20225;27407;10833;25000;0;3000;7800;0;2500;
203;140000;2;1;2;26;-1;0;-1;-1;-1;-1;13424;18000;13001;5818;13506;487;10000;13001;5841;13506;487;7004;
204;120000;1;2;2;26;0;0;0;0;0;0;107314;110578;113736;116000;119131;122135;5000;5000;4152;5000;5000;5000;
208;210000;2;2;1;41;-1;-1;-1;-1;-1;-1;3088;1586;343;3763;877;0;1586;343;3763;877;0;419;
211;220000;1;1;2;24;0;0;0;-1;-1;-1;105607;108917;111520;8303;0;85632;5000;5050;8303;0;85632;0;
214;30000;1;2;2;39;0;0;0;2;0;0;28347;28108;18388;12992;7736;8032;3036;2309;0;1000;2000;148;
215;470000;1;2;2;27;2;2;2;2;0;0;296573;303320;307843;479978;305145;309959;13000;11001;0;10484;10838;10367;
217;240000;2;2;1;36;1;-2;-2;-2;-2;-2;-946;-946;-946;-946;-946;-946;0;0;0;0;0;0;
228;20000;1;2;1;37;0;0;0;0;0;0;16455;16511;18902;18768;18650;19175;1609;3000;663;676;834;782;
237;150000;2;2;2;27;0;0;0;0;0;0;127402;110050;51547;44384;36900;29497;4500;1745;1566;1208;1077;2529;
239;240000;2;3;1;50;0;0;0;0;0;0;234205;231669;214642;207642;210375;214694;10116;9150;8008;8000;8009;7714;
240;140000;2;2;3;41;0;0;0;0;0;0;19346;21708;22940;19068;16409;16383;3000;2000;2198;1000;3000;2399;
242;50000;1;1;2;39;0;0;0;0;0;0;47174;47974;48630;50803;30789;15874;1800;2000;3000;2000;2000;2000;
248;100000;2;2;2;27;0;0;0;0;0;0;37767;34457;30036;30337;30997;32904;1788;1799;1100;1150;2423;0;
265;80000;2;1;2;37;-1;-1;-1;-1;-1;-1;10115;249;5986;188;1644;16872;258;5995;188;1644;16872;4000;
270;50000;1;2;2;27;3;2;2;0;0;-1;13694;14880;14242;13968;14319;2614;1700;0;426;501;2614;1390;
278;50000;2;1;2;26;-1;-1;-1;-1;-1;-1;1156;316;316;316;316;316;316;316;316;316;316;316;
297;120000;2;2;1;29;-1;-1;-1;-1;-1;-1;1686;657;2179;1423;0;1820;657;2319;1423;0;1820;2496;
306;110000;2;2;2;26;-2;-2;-2;-2;-2;-2;432;3220;5704;1256;1848;400;3220;5904;0;3000;0;0;
321;110000;1;2;2;29;1;2;2;0;0;0;58362;56598;51908;48647;47862;47969;2500;0;2000;2000;1854;2000;
324;230000;2;2;1;28;0;0;0;-2;-1;-1;26361;18826;1100;2100;767;6173;1710;1100;1000;767;6173;1000;
333;60000;2;1;2;28;1;2;0;0;0;0;10540;10232;11237;11427;20973;31857;0;1483;673;10000;11540;7000;
334;400000;2;2;1;43;1;-2;-2;-2;-1;-1;0;0;0;0;1600;78388;0;0;0;1600;78388;0;
336;190000;2;1;2;28;0;0;0;0;0;0;143464;146943;151905;153538;156664;160361;5795;7408;5645;5753;6370;5865;
338;140000;2;2;2;31;-2;-2;-2;-2;-2;-2;390;0;0;0;0;0;0;0;0;0;0;0;
345;180000;2;1;2;26;0;0;0;0;0;0;145403;138232;130553;105894;108248;106517;5440;5051;3835;4106;4250;4028;
352;200000;1;1;1;36;1;-2;-1;-1;-2;-1;-14386;-13543;3432;-3684;0;1386;10118;47015;0;4000;100000;10000;
357;240000;2;2;2;26;0;0;0;0;0;0;141315;128940;124226;113133;113966;103360;6349;5834;3870;4000;3825;3520;
358;380000;1;2;2;34;0;0;0;0;0;0;194314;179206;193992;174675;171253;169121;9010;35000;5000;6000;5000;4400;
378;140000;2;1;2;28;-1;0;0;-1;-1;-1;10833;14446;7609;4991;3400;3745;14000;3855;4991;3600;5500;4000;
380;50000;1;2;2;31;0;0;0;0;0;0;20526;15129;15093;9577;11139;12487;2000;3000;327;3000;3000;5000;
386;410000;2;5;1;42;0;0;0;0;0;0;338106;342904;344464;240865;234939;240176;15000;14000;9000;8500;9000;8300;
393;310000;1;2;1;44;0;0;0;0;0;0;103797;91989;87720;76218;72090;71620;4400;4013;3011;3000;3001;2653;
404;30000;1;2;1;48;0;0;0;0;0;0;27879;28870;27806;25142;25667;26179;1774;1710;1046;1079;1089;2244;
411;60000;2;1;2;23;1;2;2;2;2;2;29332;28577;30805;31601;32349;32965;0;2709;1600;1400;1300;1200;
413;230000;2;1;1;32;1;-2;-1;-1;-1;-1;0;0;2809;4595;792;3404;0;2809;4606;792;3404;0;
414;230000;2;2;2;27;1;2;0;0;0;0;13668;12647;13135;10596;9218;5068;0;1064;423;313;1000;4641;
416;50000;2;3;1;35;-1;-1;-1;-2;-2;-2;22500;5000;0;0;0;0;5000;0;0;0;0;640;
422;440000;2;1;2;29;0;0;0;0;0;0;169661;167199;158520;156977;157963;151936;8071;9021;7013;6013;6028;6010;
423;230000;2;2;2;38;-1;-1;-1;-1;-1;-1;10237;2795;1350;371;2980;0;2795;1350;371;2980;0;2213;
426;80000;2;2;1;32;-1;-1;-2;-2;-2;-2;11262;0;0;0;0;0;0;0;0;0;0;0;
429;70000;1;1;2;27;0;0;0;0;0;0;70119;68536;66601;29401;28949;29795;3600;1646;600;28468;1327;1000;
431;90000;2;2;2;25;0;0;0;0;0;0;91894;71732;73241;74424;76070;77648;3200;3300;3000;3001;3000;3100;
433;110000;2;1;2;29;0;0;0;0;0;0;48123;49537;50422;50990;52014;53206;2500;2500;2000;2000;2057;2500;
436;270000;2;2;1;32;1;2;2;2;2;2;234752;233036;229286;217644;223690;221413;10000;8000;0;16000;8000;0;
438;110000;1;3;1;37;0;0;0;0;0;0;61807;62499;62162;60605;60272;60145;2300;2200;2300;2200;2300;2300;
442;100000;1;1;2;32;0;0;0;0;2;2;83831;85586;87289;91451;93381;89522;4000;4037;6500;3500;0;3200;
448;180000;2;1;1;53;-1;-1;-1;0;0;-1;46122;1260;29366;5400;0;1599;1260;29366;54;0;1599;0;
452;600000;1;1;1;53;2;2;0;0;0;0;467150;458862;469703;447130;440982;434715;0;18000;16000;16000;21000;20000;
453;260000;1;2;2;37;0;0;0;-1;0;0;255691;262736;36638;122388;127402;131074;14000;5022;130000;7000;6000;6000;
456;40000;1;2;2;39;0;0;0;0;0;-1;40034;36549;17431;15031;10600;5315;2027;1207;301;212;5315;4987;
460;70000;1;2;1;48;0;0;0;0;0;-1;50927;39883;32017;17630;9730;6400;2100;1217;500;0;6400;4590;
462;80000;2;2;1;36;-1;-1;-1;-1;-1;-1;1689;8638;5702;2980;1260;7868;8638;5723;2980;1260;7868;2198;
463;290000;2;2;2;26;0;0;0;-1;-1;0;20807;99860;100000;3015;23473;1448;80000;3000;3015;23473;1148;4900;
465;170000;2;3;3;56;1;-2;-1;-1;-2;-1;0;0;1991;0;0;150;0;1991;0;0;150;614;
471;390000;2;3;2;35;0;0;0;0;0;0;355215;363325;373181;252195;257496;263018;13802;16525;8893;9229;10000;9435;
477;50000;1;1;2;44;0;0;0;0;0;0;50893;28527;29241;28513;29106;29638;1800;1500;1200;1203;1166;1000;
482;140000;1;2;2;26;0;0;2;2;2;2;131367;146193;140202;144035;140419;130271;17000;0;11400;550;5300;5400;
486;190000;1;2;1;31;0;0;0;0;0;0;177554;180633;172914;130139;115494;117465;7600;6303;4137;3502;4027;3517;
491;90000;2;2;2;32;-2;-2;-2;-2;-2;-2;573;0;0;0;0;0;157;0;0;0;0;0;
492;30000;2;2;1;43;2;2;2;2;2;0;28703;26622;24022;24368;20859;19633;1300;2;1608;0;900;800;
503;230000;2;6;2;46;0;0;0;0;0;0;221590;227397;230302;186635;189896;193351;10000;9000;8000;8000;7500;7000;
507;500000;2;2;2;43;-1;-1;-1;0;0;-1;3959;0;285138;249445;222831;200;0;285138;4989;100;200;528666;
508;180000;2;2;2;28;0;0;0;0;0;2;42238;38741;36696;35813;37893;34661;2500;2000;1128;2500;0;2000;
511;130000;1;2;1;31;-1;-1;-1;-1;-1;2;1261;1261;1261;1411;930;390;1261;1261;1411;930;0;780;
515;20000;2;2;2;23;0;0;2;0;0;0;18355;20259;19534;16467;15746;13246;2900;10;577;430;1017;4;
516;100000;1;3;1;56;0;0;-1;0;0;0;94265;53376;85787;78762;79529;80335;2385;88678;2169;2634;3132;732;
517;70000;1;3;1;32;0;0;0;0;0;0;68739;67629;69188;68392;69884;71284;3060;3300;2610;2750;2750;5500;
520;290000;2;1;1;34;0;0;0;0;0;0;93844;97708;103066;104864;110151;115297;6000;7000;5000;7000;7000;7000;
523;360000;1;1;2;28;-1;-1;-1;0;0;-1;1210;820;64644;125984;106584;125557;390;75720;62520;17000;132200;167000;
526;220000;2;2;2;27;-1;-1;-1;-1;-1;-1;1692;13250;433;1831;0;2891;13250;433;1831;0;2891;153504;
533;10000;1;2;2;46;0;0;2;2;2;0;4073;6394;6143;6908;6652;6785;2400;0;871;0;244;251;
538;120000;1;2;1;44;0;0;0;0;0;0;92007;87939;82094;59105;53442;46775;5417;2847;2066;1919;2200;0;
539;50000;2;1;2;52;0;0;0;-2;-1;-1;3257;4166;0;0;318;0;1000;0;0;318;0;0;
544;100000;2;1;2;24;0;0;0;0;-1;-1;30092;30486;30178;29735;14718;29427;1553;5000;87;14761;29514;330;
547;220000;2;1;1;41;1;-2;-2;-2;-2;-2;-65;-65;-65;-65;-65;-200;0;0;0;0;0;0;
548;160000;2;2;2;25;-2;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0;
550;120000;1;1;2;27;0;0;0;0;0;0;52437;50473;45087;35424;31760;31214;5024;5000;5000;4000;5000;3500;
551;100000;1;3;1;52;0;0;2;2;2;0;4657;6068;6418;6781;6144;7638;1500;1000;1000;0;2000;2000;
555;40000;2;2;2;24;-2;-2;-2;-2;-2;-2;35285;36714;37356;38184;38724;37255;2000;1600;1401;1607;1800;1751;
558;110000;2;2;2;32;0;0;2;2;2;2;65299;74565;78516;79829;81603;83206;11000;5800;3200;3200;3100;3000;
563;60000;2;2;1;42;-1;-1;-1;-1;-1;-1;631;2790;1758;416;416;3640;2790;1758;416;416;3640;730;
572;50000;2;2;2;23;0;0;0;0;0;0;49809;50364;38429;18815;18305;19013;2040;2766;1690;1000;1000;1000;
580;30000;1;2;1;35;-2;-1;-1;-1;-1;-2;7797;2687;8762;3377;2000;0;2687;8765;3390;2040;0;0;
581;30000;1;2;2;28;1;-1;-1;-2;-2;-2;0;780;0;0;0;0;780;0;0;0;0;0;
582;90000;1;2;2;33;-1;0;0;0;0;0;35785;29155;27485;29266;35598;38449;15155;5485;5263;8598;5449;6537;
584;80000;2;3;2;53;0;0;0;0;0;0;77766;77954;78512;60452;61556;54022;4000;2374;2007;2500;3000;2000;
585;50000;1;2;2;42;0;0;0;0;0;0;50300;50898;49111;48943;45775;0;2200;1600;1700;1700;0;0;
591;230000;2;1;1;30;0;0;0;-1;0;0;30341;25981;24092;65840;56538;51522;5000;5000;65840;2000;2000;10000;
593;50000;1;1;1;35;0;0;0;0;0;0;34976;6018;13930;7106;6020;9011;1127;1074;215;249;4383;172;
595;110000;1;3;2;46;0;0;0;0;0;0;56700;57875;59044;59756;61004;62213;2681;2724;2287;2362;2374;2454;
599;80000;2;2;2;24;2;0;0;0;0;0;79243;75254;58683;58886;60035;57264;3249;3000;5000;2500;2300;2200;
607;50000;2;2;1;36;0;0;0;0;0;-2;9214;10359;7350;7500;0;0;1351;1500;150;0;0;0;
611;220000;1;1;2;43;0;0;-1;-1;-1;-1;44177;25736;19292;18900;13580;33150;1006;32906;18900;13580;33150;0;
614;40000;1;2;2;23;2;2;0;0;0;0;36650;29541;26190;26710;27274;29551;0;1435;955;993;2734;0;
615;190000;2;2;1;37;1;2;2;2;2;2;115049;117856;119570;116284;123528;125478;6000;5000;0;9000;4000;5000;
618;270000;2;2;1;56;0;0;0;0;0;0;137807;123769;104377;106651;109294;101151;5000;5000;3953;4500;4000;3900;
627;70000;1;1;1;46;0;0;0;0;0;0;60040;55274;51766;51757;50013;49946;2600;1800;2000;3140;2000;1800;
634;210000;2;2;1;47;-2;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0;
636;20000;2;3;1;44;-1;-1;-1;-1;-1;-2;550;228;0;228;0;0;228;0;228;0;0;0;
639;400000;2;1;2;40;-1;-1;-1;-1;-1;0;60125;1981;4521;20472;76933;173599;1981;4521;20500;77000;100000;7700;
645;30000;2;2;1;31;0;0;2;0;0;0;29493;19433;18782;19006;19637;21251;3200;0;742;1000;2000;0;
648;80000;2;2;2;24;0;0;0;0;0;0;77615;77303;66396;55639;56873;58390;3100;2586;2000;2500;3000;2500;
658;190000;2;1;2;28;0;0;0;0;0;0;46923;48666;49347;50386;43883;34412;2500;2000;3000;2000;2000;2000;
661;160000;2;1;1;33;-2;-2;-2;-2;-2;-2;14150;8106;12431;12145;13391;7957;8106;12431;12145;13391;7957;1905;
665;40000;2;2;1;32;0;0;0;2;2;2;24114;25417;28777;29107;29693;30456;2000;4110;1100;1200;1400;0;
673;100000;2;1;2;28;2;0;0;0;0;0;96193;82342;81967;82177;78840;79261;3600;3800;3000;3000;3023;3000;
677;190000;1;2;2;40;2;2;2;2;2;2;145613;156765;159386;161870;165725;169928;15000;6600;6500;6500;7000;7000;
678;200000;1;1;2;28;0;0;0;0;0;0;71989;122129;147936;149573;152574;156323;52129;30000;6000;6000;7000;10000;
682;230000;2;1;2;29;-2;-2;-2;-2;-2;-2;0;0;1024;0;0;0;0;1024;0;0;0;0;
683;230000;2;1;1;35;0;0;0;0;-2;-2;4259;5432;6182;0;0;0;1250;1000;0;0;0;0;
685;320000;1;1;1;40;0;0;0;0;0;0;247276;241167;238196;231580;229683;235837;10000;10000;10000;19000;13000;8000;
689;140000;1;1;1;40;0;0;0;0;0;0;123049;125616;129695;130735;133467;136287;4310;5913;4426;4580;4770;4767;
690;80000;1;2;2;32;0;0;0;0;0;0;51372;51872;47593;43882;42256;42527;1853;1700;1522;1548;1488;1500;
694;70000;1;1;2;30;0;0;2;0;0;2;55664;59529;57571;57871;60872;59329;5800;0;2250;4500;0;2500;
695;320000;1;2;1;37;-2;-2;-2;-2;-2;-2;43528;498;429;14257;5417;2967;500;431;14328;5439;2980;5028;
698;90000;2;2;2;34;-1;2;2;-2;-2;-2;8792;7500;0;0;0;0;0;0;0;0;0;0;
702;200000;2;1;1;27;-1;-1;-1;-1;-1;-1;5780;105;105;0;7384;8588;105;105;0;7384;8588;1304;
707;50000;1;2;1;38;1;2;0;0;0;0;58102;59011;56272;53663;51507;50616;2500;2500;2000;2000;3200;2000;
710;20000;1;2;2;49;0;0;0;0;0;0;16326;17497;18456;18424;18800;10000;1441;1400;368;376;200;0;
720;80000;2;2;2;48;0;0;0;0;0;0;45174;41885;42832;23799;11723;27236;3000;3413;2000;5000;17236;2000;
721;30000;2;2;2;22;0;0;2;0;0;0;23892;28459;25499;25778;28708;30520;5300;0;1000;3352;2300;0;
724;320000;1;1;1;47;-1;-1;-1;-1;-1;-1;9192;13920;4022;316;8420;316;13942;4022;316;8420;316;516;
725;80000;2;2;2;34;0;0;0;2;2;2;25935;27210;28783;30003;29385;31401;2000;2338;2000;0;2500;0;
729;330000;2;2;2;29;0;0;0;0;-1;-1;49549;133957;128212;79407;8875;49880;90000;3000;5000;8875;49880;519;
736;70000;2;3;1;50;-2;-2;-1;0;0;0;27345;-1041;17571;17920;18296;18659;1041;18862;640;663;666;690;
742;110000;2;1;2;30;-1;-1;-1;-1;-2;-2;1064;2001;3796;0;0;0;2007;3796;0;0;0;0;
748;300000;2;3;1;34;0;0;0;0;0;0;280823;275303;271952;193403;187562;191069;11000;12000;7200;6500;6173;5500;
750;50000;2;2;2;25;8;7;6;5;4;3;37647;37102;36238;36374;35229;34365;0;0;1000;0;0;3000;
766;510000;2;1;2;35;-1;0;0;0;0;-1;2115;2116;5560;4535;3488;1116;1117;4560;91;69;1116;2115;
768;210000;2;1;2;28;-1;-1;-1;0;0;0;11442;3738;7526;10217;11737;8114;3738;7526;5000;5000;162;27760;
771;360000;2;2;2;53;-1;-1;-1;-1;-1;-1;10733;15206;15000;9744;11114;8123;15206;15032;9769;11114;8123;8736;
777;200000;1;1;2;26;-2;-2;-2;-2;-1;-1;12716;16164;1954;5297;1483;3393;16244;1963;3359;4849;3410;2994;
784;210000;2;1;1;42;1;-2;-1;-1;-2;-2;0;0;2490;0;0;0;0;2490;0;0;0;0;
787;370000;2;1;2;38;-1;-1;-1;-1;-1;-1;929;328;0;1539;1815;0;328;0;1539;1815;0;0;
788;230000;2;1;1;35;-1;-1;-1;-1;0;0;2648;191;1947;11674;16160;32519;200;1950;11692;10000;20000;6000;
797;230000;2;1;2;29;-2;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0;
800;210000;2;2;1;35;0;0;0;0;0;0;37148;35754;34232;32331;30337;28012;2000;2000;2444;1342;1038;2000;
808;20000;2;3;2;36;0;0;2;2;2;2;16754;18873;19862;19245;20532;19953;2400;1600;0;1600;209;0;
816;280000;2;2;1;39;0;0;2;0;0;0;213738;228963;223810;158542;162244;108143;20300;0;5600;6300;4000;4000;
822;50000;2;2;2;24;1;2;0;0;0;0;48861;48082;48614;26667;26036;26850;2000;2233;1083;1100;1400;3000;
823;150000;1;2;1;50;-1;0;0;2;0;0;55336;58255;36260;35037;34631;63156;5085;4000;0;2000;30000;5000;
824;20000;2;1;2;22;0;0;0;0;0;0;20243;20400;19583;19983;20196;19705;1410;1200;534;700;1000;0;
828;10000;1;2;2;37;0;0;0;0;2;2;8755;8158;7540;8164;6963;5923;1167;1022;1036;0;2700;0;
833;470000;2;2;1;27;0;0;0;0;-1;0;152478;62084;54551;14363;97440;90717;3001;4005;2021;97441;5001;5001;
837;80000;2;2;2;23;2;2;2;2;2;2;22895;23837;24253;24562;25126;25476;1600;1100;1000;1100;906;0;
838;110000;2;2;1;55;0;0;0;0;0;0;15069;16123;16850;17568;18133;18828;1600;1300;1000;1000;1000;1000;
841;80000;2;2;2;22;1;2;0;0;0;0;79318;79459;79788;29069;26551;27109;2000;2201;2000;1000;1000;2000;
847;300000;2;2;1;34;-2;-2;-2;-2;-2;-2;205064;-86;-86;2014;-185;1815;0;0;2100;0;2000;5000;
858;100000;2;3;1;43;2;2;2;2;2;2;50485;51582;52141;52691;54199;53176;2200;2000;2000;2500;0;4500;
863;30000;2;3;2;52;2;2;7;7;7;7;2450;2450;2450;2450;2450;2450;0;0;0;0;0;0;
866;30000;2;2;1;46;0;0;0;0;0;0;28234;28874;29437;27738;27268;27409;1484;1436;1120;995;989;800;
868;100000;1;1;2;35;0;0;-2;-2;-2;-2;29109;0;0;0;0;0;0;0;0;0;0;47970;
869;140000;2;2;1;39;0;0;0;0;0;0;105192;90337;74510;73876;76180;78400;3000;6000;4000;4000;4000;3000;
875;20000;2;3;1;40;-1;-1;-1;-1;-1;-1;2946;0;390;390;390;390;0;390;390;390;390;780;
877;150000;1;1;2;33;0;0;0;0;0;0;45335;50262;54793;59244;64096;68837;6000;6000;6000;6000;6001;6000;
878;280000;2;2;2;27;-1;-1;-1;-1;-1;-1;5924;5174;980;3058;3158;9530;5174;1078;3058;3158;9530;0;
879;50000;2;2;1;43;0;0;0;-1;0;0;23587;24580;20165;10732;10566;10757;1800;1775;10732;384;757;501;
883;230000;2;1;2;38;0;0;0;0;0;0;224020;227311;184500;128190;130883;133504;8750;7470;4540;4710;4750;4900;
884;50000;1;3;2;57;0;0;0;0;0;0;47917;48455;48120;28450;29046;29647;1988;1989;1018;1054;1084;1048;
892;400000;1;2;2;37;1;1;1;2;0;0;13611;15066;15882;12599;18599;12284;3019;5014;3;7040;2006;2005;
894;320000;1;1;2;27;0;0;0;0;0;0;137574;199563;122093;105425;100206;96073;6048;6371;3043;3031;3066;3031;
896;200000;1;1;2;31;-2;-2;-2;-2;-2;-2;100;100;100;100;100;100;100;100;100;100;100;100;
903;220000;1;2;2;25;0;0;0;0;0;0;168286;155893;119575;51317;51926;34608;10000;3900;1000;1000;2000;2000;
906;30000;2;2;2;27;-1;-1;2;0;-1;2;27772;30461;29325;21449;29709;29086;3136;0;0;29709;0;1576;
909;50000;1;1;2;27;0;0;0;0;0;0;7010;9876;11115;12915;14415;0;3000;1500;2000;2000;0;0;
913;140000;2;3;1;46;0;0;0;0;0;0;68075;69972;71805;73613;75426;77169;3000;3000;3000;3000;3000;5000;
918;120000;1;1;2;32;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0;
919;240000;1;1;2;46;0;0;0;0;0;0;471814;478380;395612;386295;356206;352257;16044;15087;12000;15000;12000;12000;
926;180000;1;1;2;27;-2;-1;2;2;-2;-2;11392;14688;14040;13440;13440;13080;3500;0;0;0;0;0;
927;20000;1;2;1;46;0;0;0;0;0;0;5902;6767;8145;8153;8324;8490;1122;1500;291;302;304;319;
929;180000;2;1;2;36;-2;-2;-2;-2;-2;-2;10737;21197;11936;40420;9210;17795;21197;11936;40420;9210;17795;6915;
933;160000;2;2;2;29;2;2;-1;-1;-1;-1;1989;-8;866;0;892;0;0;874;0;892;0;594;
934;30000;1;2;2;32;2;0;0;2;2;2;7851;9065;11595;11112;12923;12566;1500;3000;0;2000;0;1000;
938;240000;1;1;2;34;1;2;-1;-1;0;-1;11874;5979;6938;41858;10416;1711;0;6938;41877;0;1711;27162;
944;80000;2;2;2;24;2;2;5;5;4;3;1200;1200;1200;1200;600;300;0;0;0;0;0;0;
949;470000;1;2;2;33;0;0;0;0;0;0;190258;181207;120318;129281;113437;164377;40012;10020;40069;25005;100000;51305;
960;250000;1;1;2;41;-1;-1;-1;0;-1;-1;1338;-24;8324;5872;23020;2367;0;8348;0;23020;2367;3117;
963;200000;1;2;2;31;0;0;0;0;0;0;33781;35879;26043;27497;29082;31647;3000;2000;2000;2000;3000;4000;
974;150000;2;1;3;30;-2;-2;-2;-2;-2;-2;50;6527;2168;-7;1373;-1;8589;2500;0;1380;0;2050;
